name	type	primary	secondary	equipment	mechanics	level	force
Lying Close-Grip Barbell Triceps Press To Chin	Strength	Triceps	N/A	E-Z Curl Bar	Isolation	Intermediate	Push
Lying Crossover	Stretching	Abductors	N/A	None	N/A	Expert	Static
Lying Dumbbell Tricep Extension	Strength	Triceps	"Chest,Shoulders"	Dumbbell	Isolation	Intermediate	Push
Lying Face Down Plate Neck Resistance	Strength	Neck	N/A	Other	Isolation	Intermediate	Pull
Lying Face Up Plate Neck Resistance	Strength	Neck	N/A	Other	Isolation	Intermediate	Pull
Lying Glute	Stretching	Glutes	Abductors	None	N/A	Expert	Static
Lying Hamstring	Stretching	Hamstrings	Calves	Other	N/A	Expert	Static
Lying High Bench Barbell Curl	Strength	Biceps	N/A	Barbell	Isolation	Intermediate	Pull
Lying Leg Curls	Strength	Hamstrings	N/A	Machine	Isolation	Beginner	Pull
Lying Machine Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	Compound	Intermediate	Push
Lying One-Arm Lateral Raise	Strength	Shoulders	N/A	Dumbbell	Isolation	Intermediate	Pull
Lying Prone Quadriceps	Stretching	Quadriceps	N/A	None	N/A	Expert	N/A
Lying Rear Delt Raise	Strength	Shoulders	N/A	Dumbbell	Isolation	Intermediate	Pull
Lying Supine Dumbbell Curl	Strength	Biceps	N/A	Dumbbell	Isolation	Beginner	Pull
Lying T-Bar Row	Strength	MiddleBack	"Biceps,Lats"	Machine	Compound	Intermediate	Pull
Lying Triceps Press	Strength	Triceps	N/A	E-Z Curl Bar	Isolation	Intermediate	Push
Machine Bench Press	Strength	Chest	"Shoulders,Triceps"	Machine	Compound	Beginner	Push
Machine Bicep Curl	Strength	Biceps	N/A	Machine	Isolation	Beginner	Pull
Machine Lateral Raise	Strength	Shoulders	N/A	Machine	Isolation	Beginner	Push
Machine Preacher Curls	Strength	Biceps	N/A	Machine	Isolation	Beginner	Pull
Machine Shoulder (Military) Press	Strength	Shoulders	Triceps	Machine	Compound	Beginner	Push
Machine Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	Compound	Intermediate	Push
Machine Triceps Extension	Strength	Triceps	N/A	Machine	Isolation	Beginner	Push
Machine-Assisted Pull-Up	Strength	Lats	"Biceps,MiddleBack"	Machine	Compound	Beginner	Pull
Man Maker	Strength	MiddleBack	"Biceps,Triceps"	Dumbbell	Compound	Intermediate	Pull
Medicine Ball Chest Pass	Plyometrics	Chest	"Shoulders,Triceps"	Medicine Ball	Compound	Beginner	Push
Medicine Ball Full Twist	Plyometrics	Abdominals	Shoulders	Medicine Ball	Compound	Beginner	Pull
Medicine Ball Rotational Throw	Strength	Abdominals	"LowerBack,Shoulders"	Medicine Ball	Compound	Beginner	Push
Medicine Ball Scoop Throw	Plyometrics	Shoulders	"Abdominals,Hamstrings,Quadriceps"	Medicine Ball	Compound	Beginner	Push
Medicine-Ball Push-Up	Strength	Chest	"Shoulders,Triceps"	Medicine Ball	Compound	Intermediate	Push
Middle Back Shrug	Strength	MiddleBack	N/A	Dumbbell	Isolation	Intermediate	Pull
Middle Back Stretch	Stretching	MiddleBack	"Abdominals,Lats,LowerBack"	None	Isolation	Beginner	Static
Mixed Grip Chin	Strength	MiddleBack	"Biceps,Lats"	Other	Compound	Expert	Pull
Monster Walk	Strength	Abductors	N/A	Bands	Compound	Beginner	Pull
Mountain Climbers	Plyometrics	Quadriceps	"Chest,Hamstrings,Shoulders"	None	Compound	Beginner	Pull
Moving Claw Series	Plyometrics	Hamstrings	"Calves,Quadriceps"	None	Compound	Beginner	N/A
Muscle Snatch	OlympicWeightlifting	Hamstrings	"Glutes,LowerBack,Quadriceps,Shoulders,Triceps"	Barbell	Compound	Intermediate	Pull
Muscle Up	Strength	Lats	"Abdominals,Biceps,Forearms,MiddleBack,Shoulders,Traps,Triceps"	Other	Compound	Intermediate	Pull
Narrow Stance Hack Squats	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	Compound	Intermediate	Push
Narrow Stance Leg Press	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	Compound	Intermediate	Push
Narrow Stance Squats	Strength	Quadriceps	"Calves,Glutes,Hamstrings,LowerBack"	Barbell	Compound	Intermediate	Push
Natural Glute Ham Raise	Strength	Hamstrings	"Calves,Glutes,LowerBack"	None	Compound	Intermediate	Pull
Neck Bridge Prone	Strength	Neck	N/A	None	Isolation	Intermediate	Push
Neck Bridge Supine	Strength	Glutes	Hamstrings	None	Isolation	Beginner	Push
Neck Press	Strength	Chest	"Shoulders,Triceps"	Barbell	Compound	Intermediate	Push
Neck-SMR	Stretching	Neck	N/A	Other	N/A	Intermediate	Static
Negative Pull-Up	Strength	Lats	"Biceps,Forearms"	Other	Compound	Beginner	Pull
Neutral-Grip Pull Ups	Strength	Lats	"Biceps,MiddleBack"	None	Compound	Intermediate	Pull
Oblique Cable Crunch	Strength	Abdominals	N/A	Cable	Isolation	Intermediate	Pull
Oblique Crunches	Strength	Abdominals	N/A	None	Isolation	Beginner	Pull
Oblique Crunches - On The Floor	Strength	Abdominals	N/A	None	Isolation	Beginner	Pull
Olympic Squat	OlympicWeightlifting	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Intermediate	Push
On Your Side Quad Stretch	Stretching	Quadriceps	N/A	None	Isolation	Beginner	Static
On-Your-Back Quad Stretch	Stretching	Quadriceps	N/A	Other	Isolation	Beginner	Static
One Arm Against Wall	Stretching	Lats	N/A	None	Isolation	Beginner	Static
One Arm Chin-Up	Strength	MiddleBack	"Biceps,Forearms,Lats"	Other	Compound	Expert	Pull
One Arm Dumbbell Bench Press	Strength	Chest	"Shoulders,Triceps"	Dumbbell	Compound	Beginner	Push
One Arm Dumbbell Preacher Curl	Strength	Biceps	N/A	Dumbbell	Isolation	Beginner	Pull
One Arm Floor Press	Strength	Triceps	"Chest,Shoulders"	Barbell	Compound	Intermediate	Push
One Arm Lat Pulldown	Strength	Lats	"Biceps,MiddleBack"	Cable	Compound	Beginner	Pull
One Arm Pronated Dumbbell Triceps Extension	Strength	Triceps	N/A	Dumbbell	Isolation	Beginner	Push
One Arm Supinated Dumbbell Triceps Extension	Strength	Triceps	N/A	Dumbbell	Isolation	Beginner	Push
One Half Locust	Stretching	Quadriceps	"Abdominals,Biceps,Chest"	None	N/A	Beginner	Static
One Handed Hang	Stretching	Lats	Biceps	Other	N/A	Beginner	Static
One Knee To Chest	Stretching	Glutes	"Hamstrings,LowerBack"	None	Compound	Beginner	Static
One Leg Barbell Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Expert	Push
One-Arm Dumbbell Row	Strength	MiddleBack	"Biceps,Lats,Shoulders"	Dumbbell	Compound	Beginner	Pull
One-Arm Flat Bench Dumbbell Flye	Strength	Chest	N/A	Dumbbell	Isolation	Beginner	Push
One-Arm High-Pulley Cable Side Bends	Strength	Abdominals	N/A	Cable	Isolation	Beginner	Pull
One-Arm Incline Lateral Raise	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Push
One-Arm Kettlebell Clean	Strength	Hamstrings	"Glutes,LowerBack,Shoulders,Traps"	Kettlebells	Compound	Intermediate	Pull
One-Arm Kettlebell Clean and Jerk	Strength	Shoulders	N/A	Kettlebells	Compound	Intermediate	Push
One-Arm Kettlebell Floor Press	Strength	Chest	Triceps	Kettlebells	Compound	Intermediate	Push
One-Arm Kettlebell Jerk	Strength	Shoulders	"Calves,Quadriceps,Triceps"	Kettlebells	Compound	Intermediate	Push
One-Arm Kettlebell Military Press To The Side	Strength	Shoulders	Triceps	Kettlebells	Compound	Intermediate	Push
One-Arm Kettlebell Para Press	Strength	Shoulders	Triceps	Kettlebells	Compound	Intermediate	Push
One-Arm Kettlebell Push Press	Strength	Shoulders	"Calves,Quadriceps,Triceps"	Kettlebells	Compound	Intermediate	Push
One-Arm Kettlebell Row	Strength	MiddleBack	"Biceps,Lats"	Kettlebells	Compound	Intermediate	Pull
One-Arm Kettlebell Snatch	Strength	Shoulders	"Calves,Glutes,Hamstrings,LowerBack,Traps,Triceps"	Kettlebells	Compound	Expert	Pull
One-Arm Kettlebell Split Jerk	Strength	Shoulders	"Glutes,Hamstrings,Quadriceps,Triceps"	Kettlebells	Compound	Intermediate	Push
One-Arm Kettlebell Split Snatch	Strength	Shoulders	"Hamstrings,Quadriceps"	Kettlebells	Compound	Expert	Pull
One-Arm Kettlebell Swings	Strength	Hamstrings	"Calves,Glutes,LowerBack,Shoulders"	Kettlebells	Compound	Intermediate	Pull
One-Arm Long Bar Row	Strength	MiddleBack	"Biceps,Lats"	Barbell	Compound	Beginner	Pull
One-Arm Medicine Ball Slam	Strength	Abdominals	"Lats,Shoulders"	Medicine Ball	Compound	Beginner	Pull
One-Arm Open Palm Kettlebell Clean	Strength	Hamstrings	"Forearms,Glutes,LowerBack,Quadriceps,Shoulders"	Kettlebells	Compound	Intermediate	Pull
One-Arm Overhead Kettlebell Squats	Strength	Quadriceps	"Calves,Glutes,Hamstrings,Shoulders"	Kettlebells	Compound	Expert	Push
One-Arm Plank Dumbbell Biceps Curl	Strength	Biceps	"Abdominals,Shoulders,Triceps"	Dumbbell	Compound	Beginner	Pull
One-Arm Push-Up	Strength	Chest	"Shoulders,Triceps"	None	Compound	Intermediate	Push
One-Arm Side Deadlift	Strength	Quadriceps	"Abdominals,Calves,Glutes,Hamstrings,LowerBack,Traps"	Barbell	Compound	Expert	Pull
One-Arm Side Laterals	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Push
One-Legged Cable Kickback	Strength	Glutes	Hamstrings	Cable	Isolation	Intermediate	Push
Open Palm Kettlebell Clean	Strength	Hamstrings	"Glutes,LowerBack,Quadriceps,Shoulders"	Kettlebells	Compound	Expert	Pull
Otis-Up	Strength	Abdominals	"Chest,Shoulders,Triceps"	Other	Compound	Beginner	Pull
Overhead Cable Curl	Strength	Biceps	N/A	Cable	Isolation	Intermediate	Pull
Overhead Lat	Stretching	Lats	Triceps	Other	N/A	Expert	Static
Overhead Slam	Plyometrics	Lats	N/A	Medicine Ball	Compound	Beginner	Pull
Overhead Squat	OlympicWeightlifting	Quadriceps	"Abdominals,Calves,Glutes,Hamstrings,LowerBack,Shoulders,Triceps"	Barbell	Compound	Expert	Push
Overhead Stretch	Stretching	Abdominals	"Chest,Forearms,Lats,Triceps"	None	Compound	Beginner	Static
Overhead Triceps	Stretching	Triceps	Lats	None	N/A	Expert	Static
Pallof Press	Strength	Abdominals	"Chest,Shoulders,Triceps"	Cable	Isolation	Beginner	Pull
Pallof Press With Rotation	Strength	Abdominals	"Chest,Shoulders,Triceps"	Cable	Compound	Beginner	Pull
Palms-Down Dumbbell Wrist Curl Over A Bench	Strength	Forearms	N/A	Dumbbell	Isolation	Beginner	Pull
Palms-Down Wrist Curl Over A Bench	Strength	Forearms	N/A	Barbell	Isolation	Beginner	Pull
Palms-Up Barbell Wrist Curl Over A Bench	Strength	Forearms	N/A	Barbell	Isolation	Beginner	Pull
Palms-Up Dumbbell Wrist Curl Over A Bench	Strength	Forearms	N/A	Dumbbell	Isolation	Beginner	Pull
Parallel Bar Dip	Strength	Triceps	"Chest,Shoulders"	Other	Compound	Beginner	Push
Partner 3-Touch Motion Russian Twist	Strength	Abdominals	LowerBack	Medicine Ball	Compound	Beginner	Push
Partner Facing Feet-Elevated Side Plank With Band Row	Strength	MiddleBack	"Abdominals,Biceps,Lats,Shoulders"	Bands	Compound	Expert	Pull
Partner Facing Plank With Band Row	Strength	MiddleBack	"Abdominals,Biceps,Lats,Shoulders"	Bands	Compound	Intermediate	Pull
Partner Facing Planks With Alternating High-Five	Strength	Abdominals	"LowerBack,Shoulders"	None	Isolation	Beginner	Static
Partner Facing Side Plank With Band Row	Strength	MiddleBack	"Abdominals,Biceps,Lats,Quadriceps"	Bands	Compound	Intermediate	Pull
Partner Farmer's Walk Competition	Strength	Forearms	"Abdominals,Glutes,Hamstrings,LowerBack,Quadriceps,Traps"	Dumbbell	Compound	Intermediate	N/A
Partner Flat-Bench Back Extension	Strength	LowerBack	"Glutes,Hamstrings"	Other	Compound	Intermediate	Pull
Partner Flat-Bench Back Extension With Hold	Strength	LowerBack	"Glutes,Hamstrings"	Other	Compound	Intermediate	Pull
Partner Hanging Knee Raise With Manual Resistance	Strength	Abdominals	N/A	None	Compound	Intermediate	Pull
Partner Hanging Knee Raise With Throw Down	Strength	Abdominals	N/A	None	Compound	Intermediate	Pull
Partner Lying Leg Raise With Lateral Throw Down	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Partner Lying Leg Raise With Throw Down	Strength	Abdominals	N/A	None	Compound	Beginner	Push
Partner Resistance Standing Twist	Strength	Abdominals	N/A	None	Compound	Beginner	Push
Partner Side-To-Side Russian Twist & Pass	Strength	Abdominals	LowerBack	Medicine Ball	Compound	Beginner	Push
Partner Sit-Up With High-Five	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Partner Suitcase Carry Competition	Strength	Forearms	"Abdominals,Glutes,Hamstrings,LowerBack,Quadriceps,Traps"	Barbell	Compound	Intermediate	N/A
Partner Supermans With Alternating High-Five	Strength	LowerBack	"Glutes,Hamstrings"	None	Compound	Beginner	Static
Partner Target Sit-Up	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Pelvic Tilt Into Bridge	Stretching	LowerBack	N/A	None	Compound	Intermediate	Static
Pendlay Row	Strength	MiddleBack	"Biceps,Lats,Shoulders"	Barbell	Compound	Intermediate	Pull
Peroneals Stretch	Stretching	Calves	N/A	Other	N/A	Intermediate	Static
Peroneals-SMR	Stretching	Calves	N/A	Foam Roll	N/A	Intermediate	Static
Physioball Hip Bridge	Strength	Glutes	Hamstrings	Exercise Ball	Compound	Beginner	Push
Pin Presses	Powerlifting	Triceps	"Chest,Forearms,Lats,MiddleBack,Shoulders"	Barbell	Compound	Intermediate	Push
Piriformis-SMR	Stretching	Glutes	N/A	Foam Roll	Isolation	Intermediate	Static
Pistol Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Intermediate	Push
Plank	Strength	Abdominals	N/A	None	Isolation	Beginner	Static
Plank with Twist	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Plate Pinch	Strength	Forearms	N/A	Other	Isolation	Intermediate	Static
Plate Row	Strength	MiddleBack	"Biceps,Lats,Shoulders"	Barbell	Compound	Beginner	Pull
Plate Shoulder Circle Big To Small Rotation	Strength	Shoulders	Traps	Other	Isolation	Beginner	Push
Plate Twist	Strength	Abdominals	N/A	Other	Compound	Intermediate	Pull
Platform Hamstring Slides	Strength	Hamstrings	Glutes	Other	Isolation	Beginner	Pull
Plie Dumbbell Squat	Strength	Quadriceps	"Abdominals,Calves,Glutes,Hamstrings"	Dumbbell	Compound	Beginner	Push
Plyo Kettlebell Pushups	Strength	Chest	"Shoulders,Triceps"	Kettlebells	Compound	Expert	Push
Plyo Push-up	Plyometrics	Chest	"Shoulders,Triceps"	None	Compound	Beginner	Push
Pop Squat	Plyometrics	Quadriceps	"Abductors,Adductors,Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
Posterior Tibialis Stretch	Stretching	Calves	N/A	Other	N/A	Intermediate	Static
Power Clean	Strength	Hamstrings	"Calves,Forearms,Glutes,LowerBack,MiddleBack,Quadriceps,Shoulders,Traps,Triceps"	Barbell	Compound	Intermediate	Pull
Power Clean from Blocks	OlympicWeightlifting	Hamstrings	Quadriceps	Barbell	Compound	Intermediate	Pull
Power Jerk	OlympicWeightlifting	Quadriceps	"Abdominals,Calves,Glutes,Hamstrings,Shoulders,Triceps"	Barbell	Compound	Expert	Push
Power Partials	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Push
Power Snatch	OlympicWeightlifting	Hamstrings	"Calves,Glutes,LowerBack,Quadriceps,Shoulders,Traps,Triceps"	Barbell	Compound	Expert	Pull
Power Snatch from Blocks	OlympicWeightlifting	Quadriceps	"Calves,Forearms,Glutes,Hamstrings,LowerBack,Shoulders,Traps,Triceps"	Barbell	Compound	Intermediate	Pull
Power Stairs	Strongman	Hamstrings	"Adductors,Calves,Glutes,LowerBack,Quadriceps,Shoulders,Traps"	Other	Compound	Intermediate	Pull
Preacher Curl	Strength	Biceps	N/A	Barbell	Isolation	Beginner	Pull
Preacher Hammer Dumbbell Curl	Strength	Biceps	Forearms	Dumbbell	Isolation	Beginner	Pull
Press Sit-Up	Strength	Abdominals	"Chest,Shoulders,Triceps"	Barbell	Compound	Expert	Push
Prone Manual Hamstring	Strength	Hamstrings	N/A	None	Isolation	Beginner	Static
Prowler Sprint	Cardio	Hamstrings	"Calves,Chest,Glutes,Quadriceps,Shoulders"	Other	Compound	Beginner	Push
Pull Through	Strength	Glutes	"Hamstrings,LowerBack"	Cable	Compound	Beginner	Pull
Pullups	Strength	Lats	"Biceps,MiddleBack"	None	Compound	Beginner	Pull
Punches	Cardio	Shoulders	"Lats,MiddleBack"	None	Compound	Beginner	Push
Push Press	OlympicWeightlifting	Shoulders	"Quadriceps,Triceps"	Barbell	Compound	Expert	Push
Push Press - Behind the Neck	OlympicWeightlifting	Shoulders	"Calves,Quadriceps,Triceps"	Barbell	Compound	Intermediate	Push
Push Up to Side Plank	Strength	Chest	"Abdominals,Shoulders,Triceps"	None	Compound	Beginner	Push
Push-Up Wide	Strength	Chest	"Abdominals,Shoulders,Triceps"	None	Compound	Beginner	N/A
Push-Ups - Close Triceps Position	Strength	Triceps	"Chest,Shoulders"	None	Compound	Intermediate	Push
Push-Ups With Feet Elevated	Strength	Chest	"Shoulders,Triceps"	None	Compound	Beginner	Push
Push-Ups With Feet On An Exercise Ball	Strength	Chest	"Shoulders,Triceps"	Exercise Ball	Compound	Intermediate	Push
Pushups	Strength	Chest	"Shoulders,Triceps"	None	Compound	Beginner	Push
Pushups (Close and Wide Hand Positions)	Strength	Chest	"Shoulders,Triceps"	None	Compound	Beginner	Push
Pyramid	Stretching	LowerBack	Shoulders	Exercise Ball	N/A	Beginner	Static
Quad Stretch	Stretching	Quadriceps	N/A	Other	N/A	Intermediate	Static
Quadriceps-SMR	Stretching	Quadriceps	N/A	Foam Roll	Isolation	Intermediate	Static
Quick Leap	Plyometrics	Quadriceps	"Calves,Hamstrings"	Other	Compound	Beginner	Push
Rack Delivery	OlympicWeightlifting	Shoulders	"Forearms,Traps"	Barbell	Compound	Intermediate	Pull
Rack Pull with Bands	Powerlifting	LowerBack	"Forearms,Glutes,Hamstrings,Quadriceps,Traps"	Barbell	Compound	Intermediate	Pull
Rack Pulls	Powerlifting	LowerBack	"Forearms,Glutes,Hamstrings,Traps"	Barbell	Compound	Intermediate	Pull
Rear Leg Raises	Stretching	Quadriceps	N/A	None	N/A	Beginner	Push
Recumbent Bike	Cardio	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	N/A	Beginner	N/A
Return Push from Stance	Plyometrics	Shoulders	"Chest,Triceps"	Medicine Ball	Compound	Beginner	Push
Reverse Band Bench Press	Powerlifting	Triceps	"Chest,Forearms,Lats,MiddleBack,Shoulders"	Barbell	Compound	Intermediate	Push
Reverse Band Box Squat	Powerlifting	Quadriceps	"Abductors,Adductors,Calves,Forearms,Glutes,Hamstrings,LowerBack"	Barbell	Compound	Intermediate	Push
Reverse Band Deadlift	Powerlifting	LowerBack	"Abductors,Adductors,Calves,Glutes,Hamstrings,Quadriceps"	Barbell	Compound	Expert	Pull
Reverse Band Power Squat	Powerlifting	Quadriceps	"Adductors,Calves,Glutes,Hamstrings,LowerBack"	Barbell	Compound	Expert	Push
Reverse Band Sumo Deadlift	Powerlifting	Hamstrings	"Abductors,Adductors,Calves,Forearms,Glutes,LowerBack,Quadriceps,Traps"	Barbell	Compound	Expert	Pull
Reverse Barbell Curl	Strength	Biceps	Forearms	Barbell	Isolation	Beginner	Pull
Reverse Barbell Preacher Curls	Strength	Biceps	Forearms	E-Z Curl Bar	Isolation	Intermediate	Pull
Reverse Cable Curl	Strength	Biceps	Forearms	Cable	Isolation	Beginner	Pull
Reverse Crunch	Strength	Abdominals	N/A	None	Isolation	Beginner	Pull
Reverse Flyes	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Pull
Reverse Flyes With External Rotation	Strength	Shoulders	N/A	Dumbbell	Isolation	Intermediate	Pull
Reverse Grip Bent-Over Rows	Strength	MiddleBack	"Biceps,Lats,Shoulders"	Barbell	Compound	Intermediate	Pull
Reverse Grip Triceps Pushdown	Strength	Triceps	N/A	Cable	Isolation	Beginner	Push
Reverse Hyperextension	Strength	Hamstrings	"Calves,Glutes"	Machine	N/A	Intermediate	Pull
Reverse Machine Flyes	Strength	Shoulders	N/A	Machine	Isolation	Beginner	Pull
Reverse Plate Curls	Strength	Biceps	Forearms	Other	Isolation	Beginner	Pull
Reverse Triceps Bench Press	Strength	Triceps	"Chest,Shoulders"	Barbell	Compound	Intermediate	Push
Rhomboids-SMR	Stretching	MiddleBack	Traps	Foam Roll	N/A	Intermediate	Static
Rickshaw Carry	Strongman	Forearms	"Abdominals,Calves,Glutes,Hamstrings,LowerBack,Quadriceps,Traps"	Other	Compound	Intermediate	N/A
Rickshaw Deadlift	Strongman	Quadriceps	"Forearms,Glutes,Hamstrings,LowerBack,Traps"	Other	Compound	Intermediate	Pull
Ring Dips	Strength	Triceps	"Chest,Shoulders"	Other	Compound	Intermediate	Push
Rockers (Pullover To Press) Straight Bar	Strength	Lats	"Chest,Shoulders,Triceps"	Barbell	Compound	Intermediate	Pull
Rocket Jump	Plyometrics	Quadriceps	"Calves,Hamstrings"	None	Compound	Beginner	Push
Rocking Standing Calf Raise	Strength	Calves	N/A	Barbell	Isolation	Beginner	Push
Rocky Pull-Ups/Pulldowns	Strength	Lats	"Biceps,MiddleBack,Shoulders"	Other	Compound	Intermediate	Pull
Romanian Deadlift	Strength	Hamstrings	Glutes	Barbell	Isolation	Intermediate	Pull
Romanian Deadlift from Deficit	OlympicWeightlifting	Hamstrings	"Forearms,Glutes,LowerBack,Traps"	Barbell	Compound	Intermediate	Pull
Romanian Deadlift With Dumbbells	Strength	Hamstrings	"Glutes,LowerBack"	Dumbbell	Compound	Intermediate	Pull
Romanian Deadlift with Kettlebell	Strength	Hamstrings	"Glutes,LowerBack"	Kettlebells	Compound	Intermediate	Pull
Rope Climb	Strength	Lats	"Biceps,Forearms,MiddleBack,Shoulders"	Other	Compound	Intermediate	Pull
Rope Crunch	Strength	Abdominals	N/A	Cable	Isolation	Beginner	Pull
Rope Jumping	Cardio	Quadriceps	"Calves,Hamstrings"	Other	N/A	Intermediate	N/A
Rope Straight-Arm Pulldown	Strength	Lats	N/A	Cable	Isolation	Beginner	Pull
Round The World Shoulder Stretch	Stretching	Shoulders	"Biceps,Chest"	Other	N/A	Beginner	Static
Rowing, Stationary	Cardio	Quadriceps	"Biceps,Calves,Glutes,Hamstrings,LowerBack,MiddleBack"	Machine	N/A	Intermediate	N/A
Runner's Stretch	Stretching	Hamstrings	Calves	None	N/A	Beginner	Static
Run on Treadmill	Cardio	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	N/A	Beginner	N/A
Russian Bar Dip	Strength	Triceps	"Chest,Shoulders"	Other	Compound	Intermediate	Push
Russian Twist	Strength	Abdominals	LowerBack	None	Compound	Intermediate	Pull
Sandbag Load	Strongman	Quadriceps	"Abdominals,Biceps,Calves,Forearms,Glutes,Hamstrings,LowerBack,MiddleBack,Shoulders,Traps"	Other	Compound	Beginner	Pull
Scapular Pull-Up	Strength	Traps	"Lats,MiddleBack"	None	Isolation	Beginner	Pull
Scissor Kick	Stretching	Abdominals	N/A	None	Isolation	Beginner	Pull
Scissors Jump	Plyometrics	Quadriceps	"Glutes,Hamstrings"	None	Compound	Beginner	Push
Seated Back Extension	Strength	LowerBack	N/A	Machine	Isolation	Beginner	Push
Seated Band Hamstring Curl	Strength	Hamstrings	N/A	Other	Isolation	Beginner	Pull
Seated Barbell Military Press	Strength	Shoulders	Triceps	Barbell	Compound	Intermediate	Push
Seated Barbell Twist	Strength	Abdominals	N/A	Barbell	Isolation	Beginner	Pull
Seated Bent-Over One-Arm Dumbbell Triceps Extension	Strength	Triceps	N/A	Dumbbell	Isolation	Beginner	Push
Seated Bent-Over Rear Delt Raise	Strength	Shoulders	N/A	Dumbbell	Isolation	Intermediate	Pull
Seated Bent-Over Two-Arm Dumbbell Triceps Extension	Strength	Triceps	N/A	Dumbbell	Isolation	Intermediate	Push
Seated Biceps	Stretching	Biceps	"Chest,Shoulders"	None	Isolation	Expert	Static
Seated Cable Rows	Strength	MiddleBack	"Biceps,Lats,Shoulders"	Cable	Compound	Beginner	Pull
Seated Cable Shoulder Press	Strength	Shoulders	Triceps	Cable	Compound	Beginner	Push
Seated Calf Raise	Strength	Calves	N/A	Machine	Isolation	Beginner	Push
Seated Calf Stretch	Stretching	Calves	"Hamstrings,LowerBack"	None	N/A	Beginner	Static
Seated Close-Grip Concentration Barbell Curl	Strength	Biceps	N/A	Barbell	Isolation	Intermediate	Pull
Seated Dumbbell Curl	Strength	Biceps	N/A	Dumbbell	Isolation	Beginner	Pull
Seated Dumbbell Inner Biceps Curl	Strength	Biceps	N/A	Dumbbell	Isolation	Beginner	Pull
Seated Dumbbell Palms-Down Wrist Curl	Strength	Forearms	N/A	Dumbbell	Isolation	Beginner	Pull
Seated Dumbbell Palms-Up Wrist Curl	Strength	Forearms	N/A	Dumbbell	Isolation	Beginner	Pull
Seated Dumbbell Press	Strength	Shoulders	Triceps	Dumbbell	Compound	Beginner	Push
Seated Flat Bench Leg Pull-In	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Seated Floor Hamstring Stretch	Stretching	Hamstrings	Calves	None	N/A	Beginner	Static
Seated Front Deltoid	Stretching	Shoulders	Chest	None	N/A	Expert	Static
Seated Glute	Stretching	Glutes	Adductors	None	N/A	Expert	Static
Seated Glute Stretch	Stretching	Glutes	Hamstrings	None	N/A	Beginner	Pull
Seated Good Mornings	Powerlifting	LowerBack	Glutes	Barbell	Compound	Intermediate	Pull
Seated Hamstring	Stretching	Hamstrings	Calves	None	N/A	Expert	Static
Seated Hamstring and Calf Stretch	Stretching	Hamstrings	Calves	Other	N/A	Intermediate	Static
Seated Head Harness Neck Resistance	Strength	Neck	N/A	Other	Isolation	Intermediate	Pull
Seated Leg Curl	Strength	Hamstrings	N/A	Machine	Isolation	Beginner	Pull
Seated Leg Press	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	Compound	Beginner	Push
Seated Leg Tucks	Strength	Abdominals	N/A	None	Isolation	Beginner	Pull
Seated One-arm Cable Pulley Rows	Strength	MiddleBack	"Biceps,Lats,Traps"	Cable	Compound	Intermediate	Pull
Seated One-Arm Dumbbell Palms-Down Wrist Curl	Strength	Forearms	N/A	Dumbbell	Isolation	Intermediate	Pull
Seated One-Arm Dumbbell Palms-Up Wrist Curl	Strength	Forearms	N/A	Dumbbell	Isolation	Beginner	Pull
Seated Overhead Stretch	Stretching	Abdominals	N/A	None	Isolation	Beginner	Static
Seated Palm-Up Barbell Wrist Curl	Strength	Forearms	N/A	Barbell	Isolation	Beginner	Pull
Seated Palms-Down Barbell Wrist Curl	Strength	Forearms	N/A	Barbell	Isolation	Beginner	Pull
Seated Scissor Kick	Strength	Abdominals	"Abductors,Adductors"	None	Compound	Intermediate	Pull
Seated Side Lateral Raise	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Push
Seated Straight-Bar Curl Superset	Strength	Biceps	Forearms	Barbell	Isolation	Intermediate	Pull
Seated Triceps Press	Strength	Triceps	N/A	Dumbbell	Isolation	Beginner	Push
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl	Strength	Forearms	N/A	Cable	Isolation	Beginner	Pull
